日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2025-04-01,10009021,510050C2504M02500,50ETF购4月2500,0.971,-0.139,0.525,0.044,0.146,20250401,50ETF,510050,购
2025-04-01,10008931,510050C2504M02550,50ETF购4月2550,0.952,-0.161,0.9,0.066,0.145,20250401,50ETF,510050,购
2025-04-01,10008932,510050C2504M02600,50ETF购4月2600,0.939,-0.156,1.442,0.081,0.146,20250401,50ETF,510050,购
2025-04-01,10008933,510050C2504M02650,50ETF购4月2650,0.801,-0.275,3.013,0.186,0.126,20250401,50ETF,510050,购
2025-04-01,10008934,510050C2504M02700,50ETF购4月2700,0.616,-0.343,4.098,0.255,0.098,20250401,50ETF,510050,购
2025-04-01,10008935,510050C2504M02750,50ETF购4月2750,0.407,-0.338,4.078,0.259,0.065,20250401,50ETF,510050,购
2025-04-01,10008936,510050C2504M02800,50ETF购4月2800,0.243,-0.285,3.062,0.209,0.039,20250401,50ETF,510050,购
2025-04-01,10008937,510050C2504M02850,50ETF购4月2850,0.141,-0.216,2.022,0.149,0.023,20250401,50ETF,510050,购
2025-04-01,10008938,510050C2504M02900,50ETF购4月2900,0.079,-0.15,1.254,0.099,0.013,20250401,50ETF,510050,购
2025-04-01,10008939,510050C2504M02950,50ETF购4月2950,0.049,-0.112,0.791,0.068,0.008,20250401,50ETF,510050,购
2025-04-01,10009035,510050C2504M03000,50ETF购4月3000,0.034,-0.091,0.536,0.051,0.005,20250401,50ETF,510050,购
2025-04-01,10009051,510050C2505M02550,50ETF购5月2550,0.901,-0.15,1.161,0.187,0.353,20250401,50ETF,510050,购
2025-04-01,10009052,510050C2505M02600,50ETF购5月2600,0.824,-0.186,1.716,0.278,0.327,20250401,50ETF,510050,购
2025-04-01,10009053,510050C2505M02650,50ETF购5月2650,0.724,-0.214,2.245,0.36,0.29,20250401,50ETF,510050,购
2025-04-01,10009054,510050C2505M02700,50ETF购5月2700,0.598,-0.233,2.551,0.416,0.242,20250401,50ETF,510050,购
2025-04-01,10009055,510050C2505M02750,50ETF购5月2750,0.469,-0.233,2.571,0.428,0.191,20250401,50ETF,510050,购
2025-04-01,10009056,510050C2505M02800,50ETF购5月2800,0.35,-0.214,2.346,0.398,0.143,20250401,50ETF,510050,购
2025-04-01,10009057,510050C2505M02850,50ETF购5月2850,0.252,-0.185,1.962,0.343,0.103,20250401,50ETF,510050,购
2025-04-01,10009058,510050C2505M02900,50ETF购5月2900,0.177,-0.154,1.545,0.279,0.073,20250401,50ETF,510050,购
2025-04-01,10009059,510050C2505M02950,50ETF购5月2950,0.126,-0.126,1.175,0.222,0.052,20250401,50ETF,510050,购
2025-04-01,10008387,510050C2506A02500,50ETF购6月2450A,0.955,-0.105,0.52,0.125,0.537,20250401,50ETF,510050,购
2025-04-01,10008355,510050C2506A02550,50ETF购6月2499A,0.908,-0.134,0.853,0.217,0.518,20250401,50ETF,510050,购
2025-04-01,10008261,510050C2506A02600,50ETF购6月2548A,0.854,-0.157,1.182,0.3,0.494,20250401,50ETF,510050,购
2025-04-01,10008262,510050C2506A02650,50ETF购6月2597A,0.783,-0.18,1.508,0.386,0.457,20250401,50ETF,510050,购
2025-04-01,10008263,510050C2506A02700,50ETF购6月2646A,0.699,-0.198,1.784,0.458,0.412,20250401,50ETF,510050,购
2025-04-01,10008264,510050C2506A02750,50ETF购6月2695A,0.604,-0.207,1.966,0.506,0.359,20250401,50ETF,510050,购
2025-04-01,10008265,510050C2506A02800,50ETF购6月2744A,0.506,-0.208,2.01,0.524,0.303,20250401,50ETF,510050,购
2025-04-01,10008266,510050C2506A02850,50ETF购6月2793A,0.413,-0.201,1.913,0.511,0.248,20250401,50ETF,510050,购
2025-04-01,10008267,510050C2506A02900,50ETF购6月2842A,0.33,-0.187,1.736,0.475,0.199,20250401,50ETF,510050,购
2025-04-01,10008268,510050C2506A02950,50ETF购6月2891A,0.262,-0.171,1.506,0.428,0.158,20250401,50ETF,510050,购
2025-04-01,10008269,510050C2506A03000,50ETF购6月2940A,0.206,-0.152,1.277,0.374,0.125,20250401,50ETF,510050,购
2025-04-01,10008361,510050C2506A03100,50ETF购6月3038A,0.131,-0.12,0.881,0.279,0.079,20250401,50ETF,510050,购
2025-04-01,10008365,510050C2506A03200,50ETF购6月3136A,0.085,-0.093,0.602,0.205,0.052,20250401,50ETF,510050,购
2025-04-01,10008366,510050C2506A03300,50ETF购6月3234A,0.063,-0.08,0.433,0.162,0.038,20250401,50ETF,510050,购
2025-04-01,10008705,510050C2506M02400,50ETF购6月2400,0.986,-0.081,0.211,0.046,0.546,20250401,50ETF,510050,购
2025-04-01,10008681,510050C2506M02450,50ETF购6月2450,0.955,-0.105,0.52,0.125,0.537,20250401,50ETF,510050,购
2025-04-01,10008541,510050C2506M02500,50ETF购6月2500,0.907,-0.134,0.86,0.218,0.517,20250401,50ETF,510050,购
2025-04-01,10008542,510050C2506M02550,50ETF购6月2550,0.852,-0.158,1.195,0.304,0.492,20250401,50ETF,510050,购
2025-04-01,10008543,510050C2506M02600,50ETF购6月2600,0.779,-0.181,1.53,0.39,0.455,20250401,50ETF,510050,购
